ID,상호명,업종,주소,구,동,지역권,메인메뉴,가격_원,주차유형,혼밥,2~4인,가족식사,단체수용,리뷰요약,추천태그,신뢰도,챗봇추천문장
1,온담 전주본점,"육류,고기요리",전북특별자치도 전주시 완산구 다가동2가 181 1층,완산구,다가동2가,객사·객리단길권,직각목살(150g),14000,없음,비추천,추천,추천,가능,목살을 중심으로 한 고기구이 전문점으로 데이트·친구모임·회식 방문 후기가 확인됨.,가족식사,B,"온담 전주본점은(는) 객사·객리단길권에 있는 육류,고기요리 식당입니다. 대표 메뉴는 직각목살(150g)이고 가격은 14,000원. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 목살을 중심으로 한 고기구이 전문점으로 데이트·친구모임·회식 방문 후기가 확인됨."
2,돈카츠흑심 본점,돈가스,전북특별자치도 전주시 완산구 다가동1가 51-1 1층,완산구,다가동1가,객사·객리단길권,대표 돈카츠,14000,없음,추천,추천,가능,제한적,본점 이전 안내와 돈카츠 전문점 정보는 확인되나 현재 가격·주차 세부정보는 재확인이 필요함.,혼밥,C,"돈카츠흑심 본점은(는) 객사·객리단길권에 있는 돈가스 식당입니다. 대표 메뉴는 대표 돈카츠이고 가격은 11,000~17,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 본점 이전 안내와 돈카츠 전문점 정보는 확인되나 현재 가격·주차 세부정보는 재확인이 필요함."
3,아중국수,국수,전북특별자치도 전주시 덕진구 우아동1가 1107-10,덕진구,우아동1가,전주역·아중리권,대표 국수,9000,없음,추천,추천,가능,제한적,지역 국수집으로 소개되는 후기는 있으나 현재 메뉴 가격과 주차 정보는 부족함.,혼밥,C,"아중국수은(는) 전주역·아중리권에 있는 국수 식당입니다. 대표 메뉴는 대표 국수이고 가격은 7,000~11,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 지역 국수집으로 소개되는 후기는 있으나 현재 메뉴 가격과 주차 정보는 부족함."
4,초밥에덴 인후본점,"초밥,롤",전북특별자치도 전주시 덕진구 인후동1가 426-1 102호,덕진구,인후동1가,전주역·아중리권,모둠초밥,20000,없음,추천,추천,가능,제한적,초밥·롤 전문점이라는 기본 정보 외 최신 상세 리뷰 확인이 필요함.,혼밥,D,"초밥에덴 인후본점은(는) 전주역·아중리권에 있는 초밥,롤 식당입니다. 대표 메뉴는 모둠초밥이고 가격은 15,000~25,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 초밥·롤 전문점이라는 기본 정보 외 최신 상세 리뷰 확인이 필요함."
5,경성금돼지 전주본점,돼지고기구이,전북특별자치도 전주시 덕진구 인후동1가 836-8,덕진구,인후동1가,전주역·아중리권,숙성 돼지고기구이,18000,없음,비추천,추천,추천,가능,프리미엄 돼지고기구이와 모임 이용 후기가 있으나 가격·주차는 재확인 필요.,가족식사,C,"경성금돼지 전주본점은(는) 전주역·아중리권에 있는 돼지고기구이 식당입니다. 대표 메뉴는 숙성 돼지고기구이이고 가격은 14,000~22,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 프리미엄 돼지고기구이와 모임 이용 후기가 있으나 가격·주차는 재확인 필요."
6,자매갈비전골,"육류,고기요리",전북특별자치도 전주시 완산구 남노송동 536-1 자매갈비전골,완산구,남노송동,한옥마을·남부시장권,갈비전골(1인),19000,전용 없음·인근 공영주차장,가능,추천,추천,가능,전주식 물갈비로 유명하며 식사시간 웨이팅이 잦다. 전용 공간이 협소해 한옥마을 공영주차장 이용이 권장됨.,가족식사,A,"자매갈비전골은(는) 한옥마을·남부시장권에 있는 육류,고기요리 식당입니다. 대표 메뉴는 갈비전골(1인)이고 가격은 19,000원. 주차는 전용 없음·인근 공영주차장입니다. 혼밥은 가능, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 전주식 물갈비로 유명하며 식사시간 웨이팅이 잦다. 전용 공간이 협소해 한옥마을 공영주차장 이용이 권장됨."
7,베테랑 칼국수,종합분식,전북특별자치도 전주시 완산구 교동 84-10,완산구,교동,한옥마을·남부시장권,칼국수,8000,전용 없음·한옥마을 공영주차장,추천,추천,추천,가능,들깨·김·계란이 들어간 걸쭉한 칼국수가 대표 메뉴다. 관광지 인기점이라 피크시간 대기와 공영주차 이용을 고려해야 함.,혼밥|가족식사,B,"베테랑 칼국수은(는) 한옥마을·남부시장권에 있는 종합분식 식당입니다. 대표 메뉴는 칼국수이고 가격은 8,000원. 주차는 전용 없음·한옥마을 공영주차장입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 들깨·김·계란이 들어간 걸쭉한 칼국수가 대표 메뉴다. 관광지 인기점이라 피크시간 대기와 공영주차 이용을 고려해야 함."
8,보라식당,요리주점,전북특별자치도 전주시 완산구 중앙동4가 31-24,완산구,중앙동4가,객사·객리단길권,어향가지튀김,18000,인근 유료주차장,비추천,추천,제한적,제한적,어향가지튀김과 바지락술찜파스타 등이 언급되는 요리주점이다. 술자리·데이트에 적합하고 인근 유료주차장을 이용하는 편이 안전함.,주차대안|술자리,B,"보라식당은(는) 객사·객리단길권에 있는 요리주점 식당입니다. 대표 메뉴는 어향가지튀김이고 가격은 18,000원. 주차는 인근 유료주차장입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 제한적, 단체 이용은 제한적입니다. 어향가지튀김과 바지락술찜파스타 등이 언급되는 요리주점이다. 술자리·데이트에 적합하고 인근 유료주차장을 이용하는 편이 안전함."
9,동쿡바게트바,샌드위치,전북특별자치도 전주시 완산구 동완산동 400-2 1층,완산구,동완산동,동완산동,바게트 샌드위치,9000,없음,추천,가능,제한적,비추천,바게트 샌드위치를 중심으로 한 가벼운 식사형 매장으로 혼밥·포장에 적합하다.,혼밥,B,"동쿡바게트바은(는) 동완산동에 있는 샌드위치 식당입니다. 대표 메뉴는 바게트 샌드위치이고 가격은 8,000~10,000원대. 주차는 없음입니다. 혼밥은 추천, 2~4인은 가능, 가족식사는 제한적, 단체 이용은 비추천입니다. 바게트 샌드위치를 중심으로 한 가벼운 식사형 매장으로 혼밥·포장에 적합하다."
10,백수의 찬,일식당,전북특별자치도 전주시 완산구 전동 303-181 남부시장 2층 청년몰 백수의찬,완산구,전동,한옥마을·남부시장권,백스끼야끼,20000,남부시장 천변주차장,가능,추천,제한적,비추천,남부시장 청년몰의 작은 일식 매장으로 백스끼야끼가 대표적으로 언급된다. 시장 공영주차장을 이용하는 구조다.,주차대안,B,"백수의 찬은(는) 한옥마을·남부시장권에 있는 일식당 식당입니다. 대표 메뉴는 백스끼야끼이고 가격은 15,000~26,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 남부시장 천변주차장입니다. 혼밥은 가능, 2~4인은 추천, 가족식사는 제한적, 단체 이용은 비추천입니다. 남부시장 청년몰의 작은 일식 매장으로 백스끼야끼가 대표적으로 언급된다. 시장 공영주차장을 이용하는 구조다."
